Country,Year,Population - Both Sexes (Thousand),Food Price Inflation (%),,Total Meat Production (Tonnes),Total Cereal Production (Tonnes),Total Egg Production (Tonnes),Total Pulses Production (Tonnes),Oil Crops Production (Tonnes),Vegetable Crops Production (Tonnes),,Number of people undernourished (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Prevalence of undernourishment (percent),Average dietary energy supply adequacy (percent) ,Enteric Fermentation (Kilotonnes),Crop Residues (Kilotonnes),Manure left on Pasture (Kilotonnes),Temperature Change (°C),Mean Temperature,Rainfall (mm)
Myanmar,2004,49875,32.448943,925337,134341,25649700,174487,1691840,2827300,733720,3958282,13.6,4.3,11,24.8,98,21123.5916,1851.1035,3344.0364,0.463,23.19,2015.71
Myanmar,2005,50181,1.830134,1124484,151444,28735200,206639,1836180,3233400,780975,4144800,12.2,5.9,15,21.2,100,21501.4624,2045.9373,3429.6462,0.898,23.63,1896
Myanmar,2006,50500,10.30582,1284181,171874,32013900,231424,2003435,3687600,958328,4229000,10.5,4.7,19,18.4,104,21987.2675,2258.7264,3538.873,1.188,23.55,2234.03
Myanmar,2007,50829,22.0285,1425205,187120,32625200,256262,2047430,4139400,1021447,4410200,9.2,8.6,16,15.1,107,22910.1855,2289.4717,3627.4858,0.878,23.31,2218.78
Myanmar,2008,51174,34.430383,1568752,206695,33806400,293368,2227990,4651100,1215749,4451300,7.6,12.1,16,13.1,111,23574.0217,2362.8367,3749.5259,0.94,23.23,2037.6
Myanmar,2009,51540,28.531469,1808708,239197,34007161,352764,2237987,4840500,1247071,4589400,6.6,15.9,31,11.4,114,24061.1604,2375.2697,3884.887,0.799,23.75,1878.34
Myanmar,2010,51931,3.918918,1990965,264954,34042752,380655,2309115,5090700,1259604,4719500,5.8,13.8,32,11.2,117,24916.7298,2376.0861,4021.4448,1.115,24.04,2082.6
Myanmar,2011,52351,3.77113,2103315,293916,30636485,414546,2287985,5024606,1131844,4834400,5.8,6.6,64,10.5,117,25388.421,2199.2608,4285.6414,1.339,23.29,2344.57
Myanmar,2012,52797,3.634084,2302679,318478,28341452,440006,2261355,5292846,1073669,4651200,5.4,8.5,57,9.7,118,26885.824,2062.3599,4441.3229,1.28,23.54,1806.7
Myanmar,2013,53259,3.512389,2520138,344532,28622447,479496,2293735,5727802,1145239,4816900,5.1,15.9,48,8.9,119,27763.4239,2089.0017,4642.6489,1.024,23.32,2094.32
Myanmar,2014,52281,6.825728,2792556,369029,28794118,520529,2362313,4373244,1148148,4939144,4.7,15.7,49,8.4,121,28781.981,2101.3431,4905.8979,1.691,23.57,1592.23
